#Iteration	 RMSE	               Rel. Err.
275	     4.987189e-02	     2.383500e-02
276	     4.982261e-02	     2.381145e-02
277	     4.980188e-02	     2.380153e-02
278	     4.972763e-02	     2.376605e-02
279	     4.964421e-02	     2.372618e-02
280	     4.954959e-02	     2.368096e-02
281	     4.950465e-02	     2.365948e-02
282	     4.937577e-02	     2.359789e-02
283	     4.932648e-02	     2.357433e-02
284	     4.930515e-02	     2.356414e-02
285	     4.923537e-02	     2.353079e-02
286	     4.915024e-02	     2.349010e-02
287	     4.906066e-02	     2.344729e-02
288	     4.900316e-02	     2.341981e-02
289	     4.888928e-02	     2.336538e-02
290	     4.886332e-02	     2.335297e-02
291	     4.871897e-02	     2.328399e-02
292	     4.867586e-02	     2.326338e-02
293	     4.865914e-02	     2.325539e-02
294	     4.858223e-02	     2.321864e-02
295	     4.851733e-02	     2.318762e-02
296	     4.841365e-02	     2.313807e-02
297	     4.836383e-02	     2.311426e-02
298	     4.834162e-02	     2.310364e-02
299	     4.832925e-02	     2.309773e-02
300	     4.824237e-02	     2.305621e-02
301	     4.820167e-02	     2.303676e-02
302	     4.807701e-02	     2.297718e-02
303	     4.803480e-02	     2.295700e-02
304	     4.801783e-02	     2.294889e-02
305	     4.794516e-02	     2.291416e-02
306	     4.787987e-02	     2.288296e-02
307	     4.778115e-02	     2.283578e-02
308	     4.775885e-02	     2.282512e-02
309	     4.762083e-02	     2.275916e-02
310	     4.758059e-02	     2.273993e-02
311	     4.756593e-02	     2.273292e-02
312	     4.749100e-02	     2.269711e-02
313	     4.743688e-02	     2.267124e-02
314	     4.733107e-02	     2.262067e-02
315	     4.728727e-02	     2.259974e-02
316	     4.726906e-02	     2.259104e-02
317	     4.720402e-02	     2.255996e-02
318	     4.713600e-02	     2.252745e-02
319	     4.704579e-02	     2.248433e-02
320	     4.702092e-02	     2.247245e-02
321	     4.689097e-02	     2.241034e-02
322	     4.685264e-02	     2.239202e-02
323	     4.683939e-02	     2.238569e-02
324	     4.676569e-02	     2.235047e-02
325	     4.671912e-02	     2.232821e-02
326	     4.661138e-02	     2.227672e-02
327	     4.657180e-02	     2.225780e-02
328	     4.655648e-02	     2.225048e-02
329	     4.648858e-02	     2.221803e-02
330	     4.643367e-02	     2.219178e-02
331	     4.633593e-02	     2.214507e-02
332	     4.629294e-02	     2.212453e-02
333	     4.627536e-02	     2.211613e-02
334	     4.621482e-02	     2.208719e-02
335	     4.615252e-02	     2.205742e-02
336	     4.606448e-02	     2.201534e-02
337	     4.602126e-02	     2.199469e-02
338	     4.600337e-02	     2.198613e-02
339	     4.594517e-02	     2.195832e-02
340	     4.588101e-02	     2.192766e-02
341	     4.579643e-02	     2.188723e-02
342	     4.578040e-02	     2.187957e-02
343	     4.565090e-02	     2.181768e-02
344	     4.561945e-02	     2.180265e-02
345	     4.556636e-02	     2.177728e-02
346	     4.549811e-02	     2.174466e-02
